DateTime,B-Voltage,B-Current,B-Temperature,V-Change,I-Change,T-Change,B-Resistance,V-Gradient,VDRt,Year,UPS_Operation_Mode,CumulativeTime,ChargeorDischargeCapacity,DischargeCapacity,ModeChange,dQ/dV
4/13/2016 3:52,216,0,93,0,0,0,0,0,0,2016,Online,6515.266667,0,0,0,0
4/13/2016 3:57,216,0,93,0,0,0,0,0,0,2016,Online,6520.283333,0,0,0,0
4/13/2016 4:02,216,0,93,0,0,0,0,0,0,2016,Online,6525.283333,0,0,0,0
4/13/2016 4:07,216,0,93,0,0,0,0,0,0,2016,Online,6530.283333,0,0,0,0
4/13/2016 4:12,216,0,93,0,0,0,0,0,0,2016,Online,6535.266667,0,0,0,0
4/13/2016 4:17,216,0,93,0,0,0,0,0,0,2016,Online,6540.283333,0,0,0,0
4/13/2016 4:22,216,0,93,0,0,0,0,0,0,2016,Online,6545.283333,0,0,0,0
4/13/2016 4:27,216,0,93,0,0,0,0,0,0,2016,Online,6550.3,0,0,0,0
4/13/2016 4:32,216,0,93,0,0,0,0,0,0,2016,Online,6555.316667,0,0,0,0
4/13/2016 4:37,216,0,93,0,0,0,0,0,0,2016,Online,6560.3,0,0,0,0
4/13/2016 4:42,216,0,93,0,0,0,0,0,0,2016,Online,6565.283333,0,0,0,0
4/13/2016 4:47,216,0,93,0,0,0,0,0,0,2016,Online,6570.266667,0,0,0,0
4/13/2016 4:52,216,0,93,0,0,0,0,0,0,2016,Online,6575.266667,0,0,0,0
4/13/2016 4:57,216,0,93,0,0,0,0,0,0,2016,Online,6580.25,0,0,0,0
4/13/2016 5:02,216,0,93,0,0,0,0,0,0,2016,Online,6585.266667,0,0,0,0
4/13/2016 5:07,216,0,93,0,0,0,0,0,0,2016,Online,6590.25,0,0,0,0
4/13/2016 5:12,216,0,93,0,0,0,0,0,0,2016,Online,6595.233333,0,0,0,0
4/13/2016 5:17,216,0,95,0,0,0,0,0,0,2016,Online,6600.233333,0,0,0,0
4/13/2016 5:22,216,0,95,0,0,0,0,0,0,2016,Online,6605.233333,0,0,0,0
4/13/2016 5:27,216,0,93,0,0,0,0,0,0,2016,Online,6610.216667,0,0,0,0
4/13/2016 5:32,216,0,93,0,0,0,0,0,0,2016,Online,6615.233333,0,0,0,0
4/13/2016 5:37,216,0,93,0,0,0,0,0,0,2016,Online,6620.233333,0,0,0,0
4/13/2016 5:42,216,0,95,0,0,0,0,0,0,2016,Online,6625.233333,0,0,0,0
4/13/2016 5:47,216,0,93,0,0,0,0,0,0,2016,Online,6630.216667,0,0,0,0
4/13/2016 5:52,216,0,95,0,0,0,0,0,0,2016,Online,6635.216667,0,0,0,0
4/13/2016 5:57,216,0,93,0,0,0,0,0,0,2016,Online,6640.233333,0,0,0,0
4/13/2016 6:02,216,0,95,0,0,0,0,0,0,2016,Online,6645.233333,0,0,0,0
4/13/2016 6:07,216,0,95,0,0,0,0,0,0,2016,Online,6650.216667,0,0,0,0
4/13/2016 6:12,216,0,95,0,0,0,0,0,0,2016,Online,6655.216667,0,0,0,0
4/13/2016 6:17,216,0,95,0,0,0,0,0,0,2016,Online,6660.216667,0,0,0,0
4/13/2016 6:22,216,0,95,0,0,0,0,0,0,2016,Online,6665.216667,0,0,0,0
4/13/2016 6:27,216,0,95,0,0,0,0,0,0,2016,Online,6670.216667,0,0,0,0
4/13/2016 6:32,216,0,93,0,0,0,0,0,0,2016,Online,6675.216667,0,0,0,0
4/13/2016 6:37,216,0,93,0,0,0,0,0,0,2016,Online,6680.233333,0,0,0,0
4/13/2016 6:42,216,0,93,0,0,0,0,0,0,2016,Online,6685.233333,0,0,0,0
4/13/2016 6:47,216,0,93,0,0,0,0,0,0,2016,Online,6690.25,0,0,0,0
4/13/2016 6:52,216,0,93,0,0,0,0,0,0,2016,Online,6695.233333,0,0,0,0
4/13/2016 6:57,216,0,93,0,0,0,0,0,0,2016,Online,6700.216667,0,0,0,0
4/13/2016 7:02,216,0,93,0,0,0,0,0,0,2016,Online,6705.233333,0,0,0,0
4/13/2016 7:07,216,0,93,0,0,0,0,0,0,2016,Online,6710.216667,0,0,0,0
4/13/2016 7:12,216,0,93,0,0,0,0,0,0,2016,Online,6715.216667,0,0,0,0
4/13/2016 7:17,216,0,93,0,0,0,0,0,0,2016,Online,6720.233333,0,0,0,0
4/13/2016 7:22,216,0,93,0,0,0,0,0,0,2016,Online,6725.233333,0,0,0,0
4/13/2016 7:27,216,0,93,0,0,0,0,0,0,2016,Online,6730.25,0,0,0,0
4/13/2016 7:32,216,0,93,0,0,0,0,0,0,2016,Online,6735.233333,0,0,0,0
4/13/2016 7:37,216,0,93,0,0,0,0,0,0,2016,Online,6740.216667,0,0,0,0
4/13/2016 7:42,216,0,93,0,0,0,0,0,0,2016,Online,6745.2,0,0,0,0
4/13/2016 7:47,216,0,93,0,0,0,0,0,0,2016,Online,6750.216667,0,0,0,0
4/13/2016 7:52,216,0,93,0,0,0,0,0,0,2016,Online,6755.233333,0,0,0,0
4/13/2016 7:57,216,0,93,0,0,0,0,0,0,2016,Online,6760.25,0,0,0,0
4/13/2016 8:02,216,0,93,0,0,0,0,0,0,2016,Online,6765.266667,0,0,0,0
4/13/2016 8:07,216,0,93,0,0,0,0,0,0,2016,Online,6770.266667,0,0,0,0
4/13/2016 8:12,216,0,93,0,0,0,0,0,0,2016,Online,6775.266667,0,0,0,0
4/13/2016 8:17,216,0,93,0,0,0,0,0,0,2016,Online,6780.266667,0,0,0,0
4/13/2016 8:22,216,0,93,0,0,0,0,0,0,2016,Online,6785.25,0,0,0,0
4/13/2016 8:27,216,0,93,0,0,0,0,0,0,2016,Online,6790.266667,0,0,0,0
4/13/2016 8:32,216,0,93,0,0,0,0,0,0,2016,Online,6795.25,0,0,0,0
4/13/2016 8:37,216,0,93,0,0,0,0,0,0,2016,Online,6800.25,0,0,0,0
4/13/2016 8:42,216,0,93,0,0,0,0,0,0,2016,Online,6805.233333,0,0,0,0
4/13/2016 8:47,216,0,93,0,0,0,0,0,0,2016,Online,6810.25,0,0,0,0
4/13/2016 8:52,216,0,93,0,0,0,0,0,0,2016,Online,6815.233333,0,0,0,0
4/13/2016 8:57,216,0,93,0,0,0,0,0,0,2016,Online,6820.25,0,0,0,0
4/13/2016 9:02,216,0,95,0,0,0,0,0,0,2016,Online,6825.266667,0,0,0,0
4/13/2016 9:07,216,0,93,0,0,0,0,0,0,2016,Online,6830.283333,0,0,0,0
4/13/2016 9:12,216,0,93,0,0,0,0,0,0,2016,Online,6835.3,0,0,0,0
4/13/2016 9:17,216,0,93,0,0,0,0,0,0,2016,Online,6840.283333,0,0,0,0
4/13/2016 9:22,216,0,93,0,0,0,0,0,0,2016,Online,6845.3,0,0,0,0
4/13/2016 9:27,216,0,93,0,0,0,0,0,0,2016,Online,6850.283333,0,0,0,0
4/13/2016 9:32,216,0,93,0,0,0,0,0,0,2016,Online,6855.283333,0,0,0,0
4/13/2016 9:37,216,0,93,0,0,0,0,0,0,2016,Online,6860.283333,0,0,0,0
4/13/2016 9:42,216,0,93,0,0,0,0,0,0,2016,Online,6865.283333,0,0,0,0
4/13/2016 9:47,216,0,95,0,0,0,0,0,0,2016,Online,6870.3,0,0,0,0
4/13/2016 9:52,216,0,93,0,0,0,0,0,0,2016,Online,6875.3,0,0,0,0
4/13/2016 9:57,216,0,95,0,0,0,0,0,0,2016,Online,6880.316667,0,0,0,0
4/13/2016 10:02,216,0,95,0,0,0,0,0,0,2016,Online,6885.333333,0,0,0,0
4/13/2016 10:07,216,0,93,0,0,0,0,0,0,2016,Online,6890.316667,0,0,0,0
4/13/2016 10:12,216,0,95,0,0,0,0,0,0,2016,Online,6895.316667,0,0,0,0
4/13/2016 10:17,216,0,95,0,0,0,0,0,0,2016,Online,6900.316667,0,0,0,0
4/13/2016 10:22,216,0,95,0,0,0,0,0,0,2016,Online,6905.333333,0,0,0,0
4/13/2016 10:27,216,0,95,0,0,0,0,0,0,2016,Online,6910.316667,0,0,0,0
4/13/2016 10:32,216,0,93,0,0,0,0,0,0,2016,Online,6915.3,0,0,0,0
4/13/2016 10:37,216,0,91,0,0,0,0,0,0,2016,Online,6920.316667,0,0,0,0
4/13/2016 10:42,216,0,93,0,0,0,0,0,0,2016,Online,6925.3,0,0,0,0
4/13/2016 10:47,216,0,93,0,0,0,0,0,0,2016,Online,6930.316667,0,0,0,0
4/13/2016 10:52,216,0,91,0,0,0,0,0,0,2016,Online,6935.316667,0,0,0,0
4/13/2016 10:57,216,0,91,0,0,0,0,0,0,2016,Online,6940.3,0,0,0,0
4/13/2016 11:02,216,0,93,0,0,0,0,0,0,2016,Online,6945.316667,0,0,0,0
4/13/2016 11:07,216,0,93,0,0,0,0,0,0,2016,Online,6950.3,0,0,0,0
4/13/2016 11:12,216,0,91,0,0,0,0,0,0,2016,Online,6955.3,0,0,0,0
4/13/2016 11:17,216,0,91,0,0,0,0,0,0,2016,Online,6960.283333,0,0,0,0
4/13/2016 11:22,216,0,91,0,0,0,0,0,0,2016,Online,6965.266667,0,0,0,0
4/13/2016 11:27,216,0,93,0,0,0,0,0,0,2016,Online,6970.266667,0,0,0,0
4/13/2016 11:32,216,0,91,0,0,0,0,0,0,2016,Online,6975.25,0,0,0,0
4/13/2016 11:37,216,0,91,0,0,0,0,0,0,2016,Online,6980.233333,0,0,0,0
4/13/2016 11:42,216,0,93,0,0,0,0,0,0,2016,Online,6985.233333,0,0,0,0
